,Title,Artist,Year,Count
322,Like We Never Loved At All,Faith Hill,2005,13
323,Seasons Of Love,Cast Of Rent,2006,3
324,Seasons Of Love,Cast Of Rent,2005,9
325,I Can't Stop Loving You,Kem,2005,14
326,Hate It Or Love It,The Game Featuring 50 Cent,2005,23
327,Let Me Love You,Mario,2005,26
328,Let Me Love You,Mario,2004,10
329,That's What I Love About Sunday,Craig Morgan,2005,20
330,When You Tell Me That You Love Me,American Idol Finalists Season 4,2005,4
331,She Will Be Loved,Maroon 5,2005,18
332,She Will Be Loved,Maroon 5,2004,23
333,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,2005,17
334,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,2004,5
335,Why Do You Love Me,Garbage,2005,1
336,Nothin 'Bout Love Makes Sense,LeAnn Rimes,2005,12
337,Nothin 'Bout Love Makes Sense,LeAnn Rimes,2004,7
338,Dangerously In Love,Beyonce,2005,5
339,Dangerously In Love,Beyonce,2004,15
340,In A Real Love,Phil Vassar,2005,3
341,In A Real Love,Phil Vassar,2004,17
342,Used To Love U,John Legend,2004,13
343,This Love,Maroon 5,2004,43
344,Accidentally In Love,Counting Crows,2004,20
345,Still In Love,Teena Marie Featuring Baby,2004,20
346,Love Song,311,2004,20
347,If You Ever Stop Loving Me,Montgomery Gentry,2004,20
348,Talk About Our Love,Brandy Featuring Kanye West,2004,14
349,Don't Take Your Love Away,Avant,2004,20
350,That's What She Gets For Loving Me,Brooks & Dunn,2004,14
351,Love's Divine,Seal,2004,20
352,I'm Still In Love With You,Sean Paul Featuring Sasha,2004,25
353,No Better Love,Young Gunz Featuring Rell,2004,14
354,I Love You This Much,Jimmy Wayne,2004,15
355,Baby I Love U,Jennifer Lopez,2004,4
356,Love Me Right (Oh Sheila),Angel City Featuring Lara McAllen,2004,4
357,Step In The Name Of Love,R. Kelly,2004,8
358,Step In The Name Of Love,R. Kelly,2003,19
359,Love You More,Ginuwine,2004,7
360,Love You More,Ginuwine,2003,9
361,I Love This Bar,Toby Keith,2004,3
362,I Love This Bar,Toby Keith,2003,17
363,Where Is The Love?,The Black Eyed Peas,2003,25
364,Crazy In Love,Beyonce Featuring Jay Z,2003,27
365,My Love Is Like... Wo,Mya,2003,20
366,Signs Of Love Makin',Tyrese,2003,14
367,Lovin' All Night,Patty Loveless,2003,10
368,Simply Being Loved (Somnambulist),BT,2003,3
369,Love At 1st Sight,Mary J. Blige Featuring Method Man,2003,13
370,Love You Out Loud,Rascal Flatts,2003,20
371,The Love Song,Jeff Bates,2003,12
372,In Love Wit Chu,Da Brat Featuring Cherish,2003,16
373,I Love You,Dru Hill,2003,13
374,The Game Of Love,Santana Featuring Michelle Branch,2003,24
375,The Game Of Love,Santana Featuring Michelle Branch,2002,13
376,Can't Stop Loving You,Phil Collins,2003,20
377,Blowin' Me Up (With Her Love),JC Chasez,2003,17
378,"Ma, I Don't Love Her",Clipse Featuring Faith Evans,2003,6
379,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,2003,10
380,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,2002,17
381,Thug Lovin',Ja Rule Featuring Bobby Brown,2003,4
382,Thug Lovin',Ja Rule Featuring Bobby Brown,2002,6
383,Luv U Better,LL Cool J,2003,3
384,Luv U Better,LL Cool J,2002,19
385,Like I Love You,Justin Timberlake,2003,3
386,Like I Love You,Justin Timberlake,2002,17
387,Gangsta Lovin',Eve Featuring Alicia Keys,2002,22
388,Why I Love You,B2K,2002,4
389,The One You Love,Paulina Rubio,2002,3
390,Love At First Sight,Kylie Minogue,2002,16
391,Why Don't We Fall In Love,Amerie,2002,19
392,She Loves Me Not,Papa Roach,2002,12
393,Someone To Love You,Ruff Endz,2002,20
394,You Know That I Love You,Donell Jones,2002,20
395,What's Luv?,Fat Joe Featuring Ashanti,2002,28
396,Makin' Good Love,Avant,2002,20
397,That's When I Love You,Phil Vassar,2002,20
398,I Love You,Faith Evans,2002,21
399,Hey Luv (Anything),Mobb Deep Featuring 112,2002,15
400,Just Let Me Be In Love,Tracy Byrd,2002,10
401,You Gets No Love,Faith Evans,2002,7
402,You Gets No Love,Faith Evans,2001,13
403,Love Of A Woman,Travis Tritt,2002,4
404,Love Of A Woman,Travis Tritt,2001,16
405,Love Of My Life,Brian McKnight,2002,4
406,Love Of My Life,Brian McKnight,2001,16
407,I Would've Loved You Anyway,Trisha Yearwood,2001,20
408,Someone To Call My Lover,Janet,2001,20
409,Loverboy,Mariah Carey Featuring Cameo,2001,14
410,While You Loved Me,Rascal Flatts,2001,12
411,Two People Fell In Love,Brad Paisley,2001,18
412,When Somebody Loves You,Alan Jackson,2001,17
413,Love,Musiq Soulchild,2001,21
414,The Way You Love Me,Faith Hill,2001,21
415,The Way You Love Me,Faith Hill,2000,35
416,Puppy Love,Lil Bow Wow Featuring Jagged Edge,2001,7
417,Love Don't Cost A Thing,Jennifer Lopez,2001,17
418,Love Don't Cost A Thing,Jennifer Lopez,2000,4
419,Thank You For Loving Me,Bon Jovi,2001,10
420,He Loves U Not,Dream,2001,14
421,He Loves U Not,Dream,2000,14
422,This Everyday Love,Rascal Flatts,2001,12
423,This Everyday Love,Rascal Flatts,2000,2
424,I Just Wanna Love U (Give It 2 Me),JAY-Z,2001,11
425,I Just Wanna Love U (Give It 2 Me),JAY-Z,2000,10
426,My First Love,Avant Featuring KeKe Wyatt,2001,11
427,My First Love,Avant Featuring KeKe Wyatt,2000,9
428,So In Love With Two,Mikaila,2001,10
429,So In Love With Two,Mikaila,2000,6
430,Feels Like Love,Vince Gill,2001,2
431,Feels Like Love,Vince Gill,2000,18
432,My Love Goes On And On,Chris Cagle,2000,11
433,Let's Make Love,Faith Hill With Tim McGraw,2000,14
434,It Must Be Love,Alan Jackson,2000,20
435,I Think I'm In Love With You,Jessica Simpson,2000,16
436,You'll Always Be Loved By Me,Brooks & Dunn,2000,19
437,I Will Love Again,Lara Fabian,2000,17
438,When You Need My Love,Darryl Worley,2000,15
439,The Chain Of Love,Clay Walker,2000,20
440,Love's The Only House,Martina McBride,2000,20
441,I'm Outta Love,Anastacia,2000,3
442,I Knew I Loved You,Savage Garden,2000,23
443,I Knew I Loved You,Savage Garden,1999,10
444,Love Sets You Free,Kelly Price & Friends,2000,4
445,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,2000,10
446,If You Don't Wanna Love Me,Tamar Braxton,2000,6
447,He Can't Love U,Jagged Edge,2000,17
448,He Can't Love U,Jagged Edge,1999,3
449,Because You Love Me,Jo Dee Messina,2000,13
450,Love Is Blind,Eve Featuring Faith Evans,2000,16
451,No Leaf Clover,Metallica,2000,10
452,If You Love Me,Mint Condition,2000,12
453,If You Love Me,Mint Condition,1999,8
454,My Love Is Your Love,Whitney Houston,2000,11
455,My Love Is Your Love,Whitney Houston,1999,17
456,I Wanna Love You Forever,Jessica Simpson,2000,9
457,I Wanna Love You Forever,Jessica Simpson,1999,11
458,"Live, Laugh, Love",Clay Walker,2000,7
459,"Live, Laugh, Love",Clay Walker,1999,4
460,Don't Say You Love Me,M2M,2000,6
461,Don't Say You Love Me,M2M,1999,6
462,I Love You,Martina McBride,2000,2
463,I Love You,Martina McBride,1999,18
464,She's In Love,Mark Wills,1999,10
465,If You Had My Love,Jennifer Lopez,1999,25
466,I'll Still Love You More,Trisha Yearwood,1999,12
467,Everyone Falls In Love,Tanto Metro & Devonte,1999,16
468,I Love You Came Too Late,Joey McIntyre,1999,6
469,Crazy Little Thing Called Love,Dwight Yoakam,1999,10
470,If You (Lovin' Me),Silk,1999,20
471,"Luv Me, Luv Me",Shaggy Featuring Janet,1999,15
472,"Luv Me, Luv Me",Shaggy Featuring Janet,1998,2
473,Love Ain't Like That,Faith Hill,1999,8
474,Love Like This,Faith Evans,1999,13
475,Love Like This,Faith Evans,1998,7
476,How Deep Is Your Love,Dru Hill Featuring Redman,1999,8
477,How Deep Is Your Love,Dru Hill Featuring Redman,1998,12
478,Love Me,112 Featuring Mase,1999,6
479,Love Me,112 Featuring Mase,1998,10
480,It Must Be Love,Ty Herndon,1999,6
481,It Must Be Love,Ty Herndon,1998,4
482,How Do You Fall In Love,Alabama,1999,1
483,How Do You Fall In Love,Alabama,1998,4
484,I Still Love You,Next,1998,20
485,Lost In Love,Nastyboy Klick,1998,9
486,I Still Love You,Lil Suzy,1998,1
487,You Only Have To Say You Love Me,Hannah Jones,1998,20
488,The Arms Of The One Who Loves You,Xscape,1998,20
489,Love For Free,Rell Featuring Jay-Z,1998,3
490,Love The Way,EOL,1998,6
491,I Honestly Love You (David Foster Vers.),Olivia Newton-John,1998,12
492,What The World Needs Now Is Love,Dionne Warwick And The Hip-Hop Nation United,1998,2
493,Do For Love,2Pac Featuring Eric Williams,1998,18
494,It's Your Love,She Moves,1998,15
495,Love You Down,INOJ/LATHUN,1998,20
496,If I Never Stop Loving You,David Kersh,1998,16
497,Love Me Good,Michael W. Smith,1998,5
498,All My Love,Queen Pen Featuring Eric Williams,1998,15
499,Show Me Love,Robyn,1998,17
500,Show Me Love,Robyn,1997,7
501,We're Not Making Love No More,Dru Hill,1998,17
502,We're Not Making Love No More,Dru Hill,1997,3
503,Send My Love/Send One Your Love,Born Jamericans,1998,10
504,Don't Be Stupid (You Know I Love You),Shania Twain,1998,12
505,Don't Be Stupid (You Know I Love You),Shania Twain,1997,4
506,I Can Love You Better,Dixie Chicks,1998,7
507,Love Of My Life,Sammy Kershaw,1998,4
508,Love Of My Life,Sammy Kershaw,1997,1
509,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,1998,8
510,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,1997,18
511,Love Gets Me Every Time,Shania Twain,1998,8
512,Love Gets Me Every Time,Shania Twain,1997,12
513,Butta Love,Next,1998,6
514,Butta Love,Next,1997,17
515,Rhythm Of Love,DJ Company,1998,2
516,Rhythm Of Love,DJ Company,1997,17
517,Love Is Alive,3rd Party,1997,11
518,I Can Love You,Mary J. Blige,1997,19
519,When Love Starts Talkin',Wynonna,1997,2
520,Four Leaf Clover,Abra Moore,1997,13
521,To Make You Feel My Love,Billy Joel,1997,9
522,Need Your Love,Big Bub Featuring Queen Latifah & Heavy D,1997,5
523,When You Talk About Love,Patti LaBelle,1997,12
524,It's Your Love,Tim McGraw With Faith Hill,1997,20
525,Gimme Some Love,Gina G,1997,11
526,I Love Me Some Him/I Don't Want To,Toni Braxton,1997,20
527,Love II Love,Damage,1997,4
528,Don't Let Go (Love),En Vogue,1997,27
529,Don't Let Go (Love),En Vogue,1996,8
530,Ghetto Love,Da Brat Featuring T-Boz,1997,15
531,It Must Be Love,Robin S.,1997,5
532,Falling In Love (Is Hard On The Knees),Aerosmith,1997,15
533,Without Your Love,Angelina,1997,15
