,Title,Artist,Year,Count
1594,Theme From Ice Castles (Through The Eyes Of Love),Melissa Manchester,1979,4
1595,Crazy Love,The Allman Brothers Band,1979,9
1596,Precious Love,Bob Welch,1979,15
1597,I Just Fall In Love Again,Anne Murray,1979,16
1598,High On Your Love Suite,Rick James,1979,6
1599,What You Won't Do For Love,Bobby Caldwell,1979,18
1600,What You Won't Do For Love,Bobby Caldwell,1978,2
1601,Love Is Gonna Come At Last,Badfinger,1979,4
1602,I Never Said I Love You,Orsa Lia,1979,5
1603,Crazy Love,Poco,1979,14
1604,Hard Times For Lovers,Judy Collins,1979,6
1605,A Little More Love,Olivia Newton-John,1979,14
1606,A Little More Love,Olivia Newton-John,1978,6
1607,I'll Supply The Love,Toto,1979,9
1608,Love And Desire (Part I),Arpeggio,1979,5
1609,One Way Love,Bandit,1979,4
1610,Our Love Is Insane,Desmond Child And Rouge,1979,11
1611,Lotta Love,Nicolette Larson,1979,13
1612,Lotta Love,Nicolette Larson,1978,6
1613,Now That We Found Love,Third World,1979,8
1614,No Tell Lover,Chicago,1979,13
1615,No Tell Lover,Chicago,1978,2
1616,"Goodbye, I Love You",Firefall,1979,9
1617,Whole Lotta Love,The Wonder Band,1979,2
1618,Love Struck,Stonebolt,1979,5
1619,"Pops, We Love You (A Tribute To Father)","Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder",1979,8
1620,"Baby, I Need Your Lovin'",Eric Carmen,1979,5
1621,Shoot Me (With Your Love),Tasha Thomas,1979,5
1622,Love Don't Live Here Anymore,Rose Royce,1979,7
1623,Love Don't Live Here Anymore,Rose Royce,1978,4
1624,A Little Lovin' (Keeps The Doctor Away),The Raes,1979,6
1625,A Little Lovin' (Keeps The Doctor Away),The Raes,1978,3
1626,(Our Love) Don't Throw It All Away,Andy Gibb,1979,6
1627,(Our Love) Don't Throw It All Away,Andy Gibb,1978,12
1628,Who Do Ya Love,KC And The Sunshine Band,1979,5
1629,Who Do Ya Love,KC And The Sunshine Band,1978,3
1630,I Love The Nightlife (Disco 'round),Alicia Bridges,1979,5
1631,I Love The Nightlife (Disco 'round),Alicia Bridges,1978,26
1632,Lost In Your Love,John Paul Young,1979,5
1633,Lost In Your Love,John Paul Young,1978,4
1634,I Will Be In Love With You,Livingston Taylor,1979,3
1635,I Will Be In Love With You,Livingston Taylor,1978,11
1636,I'm Gonna Make You Love Me,The Blend,1979,2
1637,I'm Gonna Make You Love Me,The Blend,1978,3
1638,Part-Time Love,Elton John,1979,2
1639,Part-Time Love,Elton John,1978,8
1640,Got To Have Loving,Don Ray,1979,2
1641,Got To Have Loving,Don Ray,1978,14
1642,The Wedding Song (There Is Love),Mary Macgregor,1978,4
1643,This Is Love,Paul Anka,1978,11
1644,Love Me Again,Rita Coolidge,1978,7
1645,Everybody Needs Love,Stephen Bishop,1978,13
1646,Love Is In The Air,John Paul Young,1978,21
1647,Prisoner Of Your Love,Player,1978,11
1648,Mellow Lovin',Judy Cheeks,1978,5
1649,I Will Still Love You,Stonebolt,1978,14
1650,Almost Like Being In Love,Michael Johnson,1978,12
1651,An Everlasting Love,Andy Gibb,1978,16
1652,Martha (Your Lovers Come And Go),Gabriel,1978,4
1653,When You Feel Love,Bob Mcgilpin,1978,5
1654,Holding On (When Love Is Gone),L.T.D.,1978,10
1655,"Love Theme From ""Eyes Of Laura Mars"" (Prisoner)",Barbra Streisand,1978,12
1656,Love Will Find A Way,Pablo Cruise,1978,18
1657,She Loves To Be In Love,Charlie,1978,7
1658,Runaway Love,Linda Clifford,1978,11
1659,Will You Still Love Me Tomorrow,Dave Mason,1978,12
1660,Love Or Something Like It,Kenny Rogers,1978,12
1661,You Don't Love Me Anymore,Eddie Rabbitt,1978,7
1662,Love Is Like Oxygen,Sweet,1978,25
1663,Only One Love In My Life,Ronnie Milsap,1978,6
1664,"Hot Love, Cold World",Bob Welch,1978,10
1665,Makin' Love,Climax Blues Band,1978,4
1666,You're The Love,Seals & Crofts,1978,16
1667,Dream Lover,The Marshall Tucker Band,1978,4
1668,This Time I'm In It For Love,Player,1978,17
1669,Imaginary Lover,Atlanta Rhythm Section,1978,17
1670,Weekend Lover,Odyssey,1978,7
1671,Our Love,Natalie Cole,1978,21
1672,Africanism/Gimme Some Lovin',Kongas,1978,7
1673,Make You Feel Love Again,Wet Willie,1978,7
1674,(Love Is) Thicker Than Water,Andy Gibb,1978,20
1675,(Love Is) Thicker Than Water,Andy Gibb,1977,9
1676,You'll Love Again,Hotel,1978,7
1677,Lady Love,Lou Rawls,1978,17
1678,How Deep Is Your Love,Bee Gees,1978,18
1679,How Deep Is Your Love,Bee Gees,1977,15
1680,Never Get Enough Of Your Love,L.T.D.,1978,7
1681,Your Love Is So Good For Me,Diana Ross,1978,7
1682,I Love My Music,Wild Cherry,1978,8
1683,We Fell In Love While Dancing,Bill Brandon,1978,7
1684,"I Love You, I Love You, I Love You",Ronnie McDowell,1978,4
1685,Love Is All You Need,High Inergy,1978,5
1686,Love Me Right,Denise LaSalle,1978,10
1687,Everybody Loves A Rain Song,B.J. Thomas,1978,8
1688,Lovely Day,Bill Withers,1978,8
1689,Lovely Day,Bill Withers,1977,4
1690,I Love You,Donna Summer,1978,8
1691,I Love You,Donna Summer,1977,3
1692,Never Had A Love,Pablo Cruise,1978,4
1693,(Every Time I Turn Around) Back In Love Again,LTD,1978,7
1694,(Every Time I Turn Around) Back In Love Again,LTD,1977,12
1695,Easy To Love,Leo Sayer,1978,6
1696,Easy To Love,Leo Sayer,1977,4
1697,If You're Not Back In Love By Monday,Millie Jackson,1978,4
1698,If You're Not Back In Love By Monday,Millie Jackson,1977,7
1699,Gettin' Ready For Love,Diana Ross,1978,4
1700,Gettin' Ready For Love,Diana Ross,1977,9
1701,Tried To Love,Peter Frampton,1978,4
1702,Tried To Love,Peter Frampton,1977,4
1703,You Make Loving Fun,Fleetwood Mac,1978,2
1704,You Make Loving Fun,Fleetwood Mac,1977,12
1705,I Feel Love,Donna Summer,1978,1
1706,I Feel Love,Donna Summer,1977,22
1707,I Honestly Love You,Olivia Newton-John,1977,9
1708,I Honestly Love You,Olivia Newton-John,1974,15
1709,Never My Love,Addrisi Brothers,1977,4
1710,Just Remember I Love You,Firefall,1977,21
1711,Keep It Comin' Love,KC And The Sunshine Band,1977,20
1712,Still The Lovin' Is Fun,B.J. Thomas,1977,4
1713,Why Do Lovers (Break Each Other's Heart?),Daryl Hall John Oates,1977,6
1714,Echoes Of Love,The Doobie Brothers,1977,7
1715,Doctor Love,First Choice,1977,9
1716,I Just Want To Make Love To You,Foghat,1977,10
1717,I Just Want To Make Love To You,Foghat,1972,7
1718,Best Of My Love,The Emotions,1977,23
1719,Love Gun,KISS,1977,7
1720,It Ain't Love,Tom Powers,1977,5
1721,We Never Danced To A Love Song,The Manhattans,1977,2
1722,Jungle Love,The Steve Miller Band,1977,14
1723,(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,1977,27
1724,"Started Out Dancing, Ended Up Making Love",Alan O'Day,1977,6
1725,The Greatest Love Of All,George Benson,1977,14
1726,How Much Love,Leo Sayer,1977,15
1727,Baby Love,Mother's Finest,1977,6
1728,I Believe In Love,Kenny Loggins,1977,11
1729,Love Me One More Time (Just For Old Times Sake),Karen Nelson And Billy T,1977,4
1730,Do You Wanna Make Love,Peter Mccann,1977,22
1731,I Don't Love You Anymore,Teddy Pendergrass,1977,14
1732,"Luckenbach, Texas (Back To The Basics Of Love)",Waylon Jennings,1977,16
1733,Since I Fell For You/I'm Falling In Love,"Hodges, James And Smith",1977,6
1734,Everybody Ought To Be In Love,Paul Anka,1977,4
1735,Gonna Love You More,George Benson,1977,5
1736,Love's Grown Deep,Kenny Nolan,1977,18
1737,Heard It In A Love Song,The Marshall Tucker Band,1977,21
1738,It Feels So Good To Be Loved So Bad,The Manhattans,1977,18
1739,All You Get From Love Is A Love Song,Carpenters,1977,10
1740,People In Love,10cc,1977,7
1741,Calling Dr. Love,KISS,1977,14
1742,I've Got Love On My Mind,Natalie Cole,1977,21
1743,Only Love Can Break A Heart,Bobby Vinton,1977,2
1744,Your Love,"Marilyn McCoo & Billy Davis, Jr.",1977,11
1745,Tryin' To Love Two,William Bell,1977,15
1746,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,1977,22
1747,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,1976,3
1748,You + Me = Love/Let's Go Down To The Disco,Undisputed Truth,1977,11
1749,The Things We Do For Love,10cc,1977,19
1750,Disco Lucy (i Love Lucy Theme),Wilton Place Street Band,1977,17
1751,At Midnight (My Love Will Lift You Up),Rufus Featuring Chaka Khan,1977,12
1752,You're Throwing A Good Love Away,The Spinners,1977,7
1753,Torn Between Two Lovers,Mary Macgregor,1977,16
1754,Torn Between Two Lovers,Mary Macgregor,1976,6
1755,Love In 'C' Minor - Pt. I,Cerrone,1977,8
1756,Love Is Better In The A.M. (Part 1),Johnnie Taylor,1977,7
1757,Love In 'C' Minor,The Heart And Soul Orchestra,1977,7
1758,Part Time Love,Kerry Chater,1977,2
1759,Lost Without Your Love,Bread,1977,11
1760,Lost Without Your Love,Bread,1976,5
1761,Somebody To Love,Queen,1977,10
1762,Somebody To Love,Queen,1976,5
1763,Here Is Where Your Love Belongs,The Sons Of Champlin,1977,5
1764,After The Lovin',Engelbert Humperdinck,1977,9
1765,After The Lovin',Engelbert Humperdinck,1976,10
1766,Love So Right,Bee Gees,1977,8
1767,Love So Right,Bee Gees,1976,15
1768,When Love Is New,Arthur Prysock,1977,8
1769,When Love Is New,Arthur Prysock,1976,1
1770,I Don't Wanna Lose Your Love/Flowers,The Emotions,1977,6
1771,Love To The World,L.T.D.,1977,3
1772,"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays,1977,4
1773,Muskrat Love,Captain & Tennille,1977,6
1774,Muskrat Love,Captain & Tennille,1976,14
1775,Love Me,Yvonne Elliman,1977,6
1776,Love Me,Yvonne Elliman,1976,13
1777,Love Ballad,L.T.D.,1977,5
1778,Love Ballad,L.T.D.,1976,13
1779,Love Bug,Bumble Bee Unlimited,1977,2
1780,Love Bug,Bumble Bee Unlimited,1976,3
1781,Down To Love Town,The Originals,1976,9
1782,Laid Back Love,Major Harris,1976,4
1783,I Don't Wanna Lose Your Love,The Emotions,1976,6
1784,"Baby, Baby I Love You",Terry Cashman,1976,2
1785,It's Only Love,ZZ Top,1976,11
1786,I'd Really Love To See You Tonight,England Dan & John Ford Coley,1976,24
1787,With Your Love,Jefferson Starship,1976,17
1788,Say You Love Me,Fleetwood Mac,1976,19
1789,Love Of My Life,Gino Vannelli,1976,8
1790,Here's Some Love,Tanya Tucker,1976,5
1791,Wanna Make Love (Come Flick My BIC),Sun,1976,6
1792,One Love In My Lifetime,Diana Ross,1976,12
1793,Brand New Love Affair,Jigsaw,1976,7
1794,You'll Never Find Another Love Like Mine,Lou Rawls,1976,21
1795,Love Is Alive,Gary Wright,1976,27
1796,Made To Love You,Gary Wright,1976,5
1797,"Baby, I Love Your Way",Peter Frampton,1976,16
1798,I Need To Be In Love,Carpenters,1976,11
1799,Silly Love Songs,Wings,1976,19
1800,Everything's Coming Up Love,David Ruffin,1976,9
1801,I've Been Lovin' You,Easy Street,1976,5
1802,Never Gonna Fall In Love Again,Eric Carmen,1976,15
1803,Love Hangover,Diana Ross,1976,18
1804,I Hope We Get To Love In Time,"Marilyn McCoo & Billy Davis, Jr.",1976,8
1805,Will You Love Me Tomorrow,Dana Valery,1976,4
1806,Who Loves You Better - Part 1,The Isley Brothers,1976,7
1807,Say You Love Me,D.J. Rogers,1976,2
1808,Fooled Around And Fell In Love,Elvin Bishop,1976,17
1809,Rock And Roll Love Letter,Bay City Rollers,1976,9
1810,Love In The Shadows,Neil Sedaka,1976,11
1811,Love Really Hurts Without You,Billy Ocean,1976,11
1812,Let Your Love Flow,Bellamy Brothers,1976,19
1813,Don't Pull Your Love/then You Can Tell Me Goodbye,Glen Campbell,1976,10
1814,Sweet Love,Commodores,1976,22
1815,Sweet Love,Commodores,1975,1
1816,Can't Hide Love,"Earth, Wind & Fire",1976,9
1817,Where Did Our Love Go,The J. Geils Band,1976,6
1818,When Love Has Gone Away,Richard Cocciante,1976,6
1819,Forever Lovers,Mac Davis,1976,5
1820,Love And Understanding (Come Together),Kool & The Gang,1976,8
1821,Heavy Love,David Ruffin,1976,7
1822,I Thought It Took A Little Time (But Today I Fell In Love),Diana Ross,1976,7
1823,Love Machine (Part 1),The Miracles,1976,18
1824,Love Machine (Part 1),The Miracles,1975,10
1825,Love Hurts,Nazareth,1976,17
1826,Love Hurts,Nazareth,1975,6
1827,Only Love Is Real,Carole King,1976,11
1828,Love Hangover,The 5th Dimension,1976,4
1829,Love Fire,Jigsaw,1976,11
1830,Without Your Love (mr. Jordan),Charlie Ross,1976,7
1831,Fanny (Be Tender With My Love),Bee Gees,1976,15
1832,Fanny (Be Tender With My Love),Bee Gees,1975,1
1833,50 Ways To Leave Your Lover,Paul Simon,1976,15
1834,50 Ways To Leave Your Lover,Paul Simon,1975,2
1835,Love To Love You Baby,Donna Summer,1976,14
1836,Love To Love You Baby,Donna Summer,1975,4
1837,Love Is The Drug,Roxy Music,1976,13
1838,Love Is The Drug,Roxy Music,1975,1
1839,If Love Must Go,Dobie Gray,1976,7
1840,Love Lifted Me,Kenny Rogers,1976,3
1841,Love Me Tonight,Head East,1976,6
1842,Love Rollercoaster,Ohio Players,1976,9
1843,Love Rollercoaster,Ohio Players,1975,7
1844,I Love Music (Part 1),The O'Jays,1976,8
1845,I Love Music (Part 1),The O'Jays,1975,9
1846,Love Or Leave,The Spinners,1976,7
1847,Love Or Leave,The Spinners,1975,1
1848,Walk Away From Love,David Ruffin,1976,7
1849,Walk Away From Love,David Ruffin,1975,8
1850,Sweet Loving Man,Morris Albert,1976,2
1851,Make Love To Your Mind,Bill Withers,1976,6
1852,Make Love To Your Mind,Bill Withers,1975,2
1853,Disco Sax/for The Love Of You,Houston Person,1976,4
1854,That's Why I Love You,Andrew Gold,1976,5
1855,For The Love Of You (Part 1&2),The Isley Brothers,1976,5
1856,For The Love Of You (Part 1&2),The Isley Brothers,1975,7
1857,Young Love,Ray Stevens,1976,2
1858,Part Time Love,Gladys Knight And The Pips,1976,3
1859,Part Time Love,Gladys Knight And The Pips,1975,8
1860,Play On Love,Jefferson Starship,1976,3
1861,Play On Love,Jefferson Starship,1975,3
1862,Valentine Love,Norman Connors,1976,3
1863,Who Loves You,The 4 Seasons,1976,1
1864,Who Loves You,The 4 Seasons,1975,19
1865,Secret Love,Freddy Fender,1975,11
1866,Heat Wave/love Is A Rose,Linda Ronstadt,1975,13
1867,Is It Love That We're Missin',Quincy Jones (feat. The Brothers Johnson),1975,10
1868,Love Hurts,Jim Capaldi,1975,1
1869,Love Power,Willie Hutch,1975,6
1870,Come And Get Your Love,Roger Daltrey,1975,8
1871,I'll Go To My Grave Loving You,The Statler Brothers,1975,4
1872,It's Time For Love,The Chi-lites,1975,3
1873,There Goes Another Love Song,The Outlaws,1975,10
1874,So In Love,Curtis Mayfield,1975,7
1875,Indian Love Call,Ray Stevens,1975,5
1876,What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov,Jessi Colter,1975,5
1877,A Lover's Question,Loggins & Messina,1975,2
1878,(I Believe) There's Nothing Stronger Than Our Love,Paul Anka/Odia Coates,1975,13
1879,Fallin' In Love,"Hamilton, Joe Frank & Reynolds",1975,17
1880,Feel Like Makin' Love,Bad Company,1975,15
1881,I Love Makin' Love To You,Evie Sands,1975,10
1882,You Ain't Never Been Loved (Like I'm Gonna Love You),Jessi Colter,1975,5
1883,Your Love,Graham Central Station,1975,9
1884,Brand New Love Affair (Part I & II),Chicago,1975,5
1885,How Sweet It Is (To Be Loved By You),James Taylor,1975,15
1886,If I Could Only Win Your Love,Emmylou Harris,1975,5
1887,Love Will Keep Us Together,Captain & Tennille,1975,23
1888,When You're Young And In Love,The Choice Four,1975,4
1889,When You're Young And In Love,Ralph Carter,1975,3
1890,Love Is A Rose,Linda Ronstadt,1975,2
1891,I Believe I'm Gonna Love You,Frank Sinatra,1975,7
1892,If You Think You Know How To Love Me,Smokey,1975,3
1893,I'm Not In Love,10cc,1975,17
1894,Inside My Love,Minnie Riperton,1975,4
1895,For Your Love,Christopher Paul And Shawn,1975,5
1896,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,Travis Wammack,1975,10
1897,Look At Me (I'm In Love),The Moments,1975,8
1898,Can't Give You Anything (but My Love),The Stylistics,1975,6
1899,It Doesn't Matter Anymore/When Will I Be Loved,Linda Ronstadt,1975,4
1900,Let Me Make Love To You,The O'Jays,1975,3
1901,Three Steps From True Love,The Reflections,1975,4
1902,Love Won't Let Me Wait,Major Harris,1975,18
1903,When Will I Be Loved,Linda Ronstadt,1975,15
1904,Funny How Love Can Be,First Class,1975,7
1905,Keep Our Love Alive,Paul Davis,1975,2
1906,Do It In The Name Of Love,Ben E. King,1975,4
1907,He Don't Love You (Like I Love You),Tony Orlando & Dawn,1975,14
1908,Good Lovin' Gone Bad,Bad Company,1975,8
1909,Touch Me Baby (reaching Out For Your Love),Tamiko Jones,1975,10
1910,You Need Love,Styx,1975,2
1911,L-O-V-E (Love),Al Green,1975,12
1912,Lovin' You,Minnie Riperton,1975,18
1913,You Are So Beautiful/It's A Sin When You Love Somebody,Joe Cocker,1975,17
1914,(if You Add) All The Love In The World,Mac Davis,1975,4
1915,I Am Love (Parts I & II),Jackson 5,1975,14
1916,Love Finds It's Own Way,Gladys Knight And The Pips,1975,8
1917,I Wanna Learn A Love Song,Harry Chapin,1975,9
1918,Best Of My Love,Eagles,1975,14
1919,Best Of My Love,Eagles,1974,5
1920,Where Is The Love,Betty Wright,1975,1
1921,Love Corporation,The Hues Corporation,1975,6
1922,Don't Take Your Love,The Manhattans,1975,10
1923,If Loving You Is Wrong I Don't Want To Be Right,Millie Jackson,1975,7
1924,I'll Still Love You,Jim Weatherly,1975,5
1925,We May Never Love Like This Again,Maureen McGovern,1975,4
1926,Love Don't You Go Through No Changes On Me,Sister Sledge,1975,4
1927,You Got The Love,Rufus Featuring Chaka Khan,1975,4
1928,You Got The Love,Rufus Featuring Chaka Khan,1974,12
1929,My Melody Of Love,Bobby Vinton,1975,2
1930,My Melody Of Love,Bobby Vinton,1974,15
1931,Don't Cha Love It,The Miracles,1975,2
1932,Don't Cha Love It,The Miracles,1974,2
1933,Without Love,Aretha Franklin,1975,1
1934,Without Love,Aretha Franklin,1974,7
1935,Everlasting Love,Carl Carlton,1974,15
1936,Love Don't Love Nobody - Pt. I,The Spinners,1974,13
1937,Early Morning Love,Sammy Johns,1974,8
1938,Distant Lover,Marvin Gaye,1974,9
1939,Love Me For A Reason,The Osmonds,1974,13
1940,Feel Like Making Love,Bob James,1974,2
1941,Bring Back The Love Of Yesterday,The Dells,1974,3
1942,Never My Love,Blue Swede,1974,11
1943,Fallin' In Love,"The Souther, Hillman, Furay Band",1974,10
1944,I Love My Friend,Charlie Rich,1974,13
1945,"Can't Get Enough Of Your Love, Babe",Barry White,1974,12
1946,Tell Her Love Has Felt The Need,Eddie Kendricks,1974,10
1947,Feel Like Makin' Love,Roberta Flack,1974,16
1948,Sugar Baby Love,The Rubettes,1974,10
1949,Radar Love,Golden Earring,1974,20
1950,Ain't No Love In The Heart Of The City,Bobby Bland,1974,7
1951,Don't Knock My Love,Diana Ross & Marvin Gaye,1974,9
1952,My Love,Margie Joseph,1974,4
1953,If You Love Me (let Me Know),Olivia Newton-John,1974,20
1954,For The Love Of Money,The O'Jays,1974,16
1955,Love Is The Message,MFSB Featuring The Three Degrees,1974,4
1956,I Wish It Was Me You Loved,The Dells,1974,2
1957,The Same Love That Made Me Laugh,Bill Withers,1974,13
1958,I'm Falling In Love With You,Little Anthony And The Imperials,1974,4
1959,Wake Up And Love Me,April,1974,4
1960,I'm In Love,Aretha Franklin,1974,13
1961,Tell Laura I Love Her,Johnny T. Angel,1974,4
1962,Come And Get Your Love,Redbone,1974,23
1963,My Mistake (Was To Love You),Diana Ross & Marvin Gaye,1974,16
1964,Satisfaction Guaranteed (Or Take Your Love Back),Harold Melvin And The Blue Notes,1974,10
1965,I'll Have To Say I Love You In A Song,Jim Croce,1974,14
1966,Love That Really Counts,Natural Four,1974,2
1967,Lookin' For A Love,Bobby Womack,1974,17
1968,A Very Special Love Song,Charlie Rich,1974,14
1969,Teenage Love Affair,Rick Derringer,1974,5
1970,Under The Influence Of Love,Love Unlimited,1974,8
1971,Mighty Love - Pt. 1,The Spinners,1974,15
1972,Love's Theme,Love Unlimited Orchestra,1974,17
1973,Love's Theme,Love Unlimited Orchestra,1973,5
1974,All In Love Is Fair,Barbra Streisand,1974,5
1975,Power Of Love,Martha Reeves,1974,5
1976,Put A Little Love Away,The Emotions,1974,6
1977,Loving You,Johnny Nash,1974,3
1978,Loving Arms,Kris Kristofferson & Rita Coolidge,1974,5
1979,Must Be Love,The James Gang,1974,11
1980,Love Song,Anne Murray,1974,14
1981,Love Song,Anne Murray,1973,3
1982,We're Getting Careless With Our Love,Johnnie Taylor,1974,10
1983,I Love,Tom T. Hall,1974,12
1984,I Love,Tom T. Hall,1973,4
1985,I Like To Live The Love,B.B. King,1974,12
1986,I Like To Live The Love,B.B. King,1973,4
1987,You Sure Love To Ball,Marvin Gaye,1974,6
1988,Try (Try To Fall In Love),Cooker,1974,5
1989,When I Fall In Love/Are You Lonesome Tonight,Donny Osmond,1974,7
1990,When I Fall In Love/Are You Lonesome Tonight,Donny Osmond,1973,6
1991,Love Has No Pride,Linda Ronstadt,1974,6
1992,Love Has No Pride,Linda Ronstadt,1973,5
1993,Tell Her She's Lovely,El Chicano,1974,3
1994,Tell Her She's Lovely,El Chicano,1973,7
1995,The River Of Love,B.W. Stevenson,1974,2
1996,The River Of Love,B.W. Stevenson,1973,5
1997,Somewhere Between Love And Tomorrow,Roy Clark,1974,2
1998,Somewhere Between Love And Tomorrow,Roy Clark,1973,3
1999,Will You Love Me Tomorrow?,Melanie,1974,1
2000,Will You Love Me Tomorrow?,Melanie,1973,3
2001,Could You Ever Love Me Again,Gary & Dave,1974,1
2002,Could You Ever Love Me Again,Gary & Dave,1973,3
2003,Heartbeat - It's A Lovebeat,The DeFranco Family featuring Tony DeFranco,1973,17
2004,"Love, Reign O'er Me",The Who,1973,5
2005,Love Me For What I Am/there Ain't No Way,Lobo,1973,2
2006,Sweet Understanding Love,Four Tops,1973,9
2007,Friends/chapel Of Love,Bette Midler,1973,10
2008,Back For A Taste Of Your Love,Syl Johnson,1973,6
2009,Loves Me Like A Rock,Paul Simon (with The Dixie Hummingbirds),1973,16
2010,Let Me Be Your Lovemaker,Betty Wright,1973,6
2011,(I Don't Want To Love You But) You Got Me Anyway,Sutherland Brothers And Quiver,1973,12
2012,To Know You Is To Love You,B.B. King,1973,14
2013,Jimmy Loves Mary-Anne,Looking Glass,1973,15
2014,Loving Arms,Dobie Gray,1973,11
2015,Love Is All,Engelbert Humperdinck,1973,3
2016,Muskrat Love,America,1973,8
2017,Send A Little Love My Way,Anne Murray,1973,7
2018,A Million To One/Young Love,Donny Osmond,1973,11
2019,"Love, Love, Love",Donny Hathaway,1973,9
2020,I'll Always Love My Mama (Part I),The Intruders,1973,12
2021,Give Me Love - (Give Me Peace On Earth),George Harrison,1973,14
2022,My Love,Paul McCartney And Wings,1973,18
2023,I'm Gonna Love You Just A Little More Baby,Barry White,1973,18
2024,One Of A Kind (Love Affair),The Spinners,1973,15
2025,And I Love You So,Perry Como,1973,16
2026,Love And Happiness,Earnest Jackson,1973,6
2027,Only Love,Bill Quateman,1973,5
2028,Love Train,The O'Jays,1973,14
2029,Friend And A Lover,The Partridge Family Starring Shirley Jones Featuring David Cassidy,1973,2
2030,Could It Be I'm Falling In Love,The Spinners,1973,14
2031,Could It Be I'm Falling In Love,The Spinners,1972,1
2032,Kissing My Love,Bill Withers,1973,10
2033,Give Me Your Love,Barbara Mason,1973,12
2034,Love Is What You Make It,The Grass Roots,1973,10
2035,Do It In The Name Of Love,Candi Staton,1973,9
2036,Kufanya Mapenzi (Making Love),Ramsey Lewis,1973,3
2037,Today I Started Loving You Again,Bettye Swann,1973,7
2038,Love Jones,Brighter Side Of Darkness,1973,9
2039,Love Jones,Brighter Side Of Darkness,1972,4
2040,Love Music,The Raiders,1973,5
2041,Somebody Loves You,The Whispers,1973,4
2042,Don't Leave Me Starvin' For Your Love (Part 1),Holland-Dozier,1973,6
2043,Looking Through The Eyes Of Love,The Partridge Family Starring Shirley Jones Featuring David Cassidy,1973,5
2044,Looking Through The Eyes Of Love,The Partridge Family Starring Shirley Jones Featuring David Cassidy,1972,3
2045,What My Baby Needs Now Is A Little More Lovin',James Brown-Lyn Collins,1973,5
2046,What My Baby Needs Now Is A Little More Lovin',James Brown-Lyn Collins,1972,2
2047,Let Us Love,Bill Withers,1973,2
2048,Let Us Love,Bill Withers,1972,4
2049,I'm Stone In Love With You,The Stylistics,1973,1
2050,I'm Stone In Love With You,The Stylistics,1972,12
2051,Everybody Loves A Love Song,Mac Davis,1973,1
2052,Everybody Loves A Love Song,Mac Davis,1972,6
2053,I Didn't Know I Loved You (Till I Saw You Rock And Roll),Gary Glitter,1972,9
2054,I'd Love You To Want Me,Lobo,1972,14
2055,Wedding Song (There Is Love),Petula Clark,1972,10
2056,"Lovin' You, Lovin' Me",Candi Staton,1972,6
2057,Why Can't We Be Lovers,Holland-Dozier,1972,10
2058,Burning Love,Elvis Presley,1972,15
2059,That's How Love Goes,Jermaine Jackson,1972,11
2060,I Love You More Than You'll Ever Know,Donny Hathaway,1972,6
2061,Loving You Just Crossed My Mind,Sam Neely,1972,12
2062,"Hey, You Love",Mouth & MacNeal,1972,3
2063,Don't Hide Your Love,Cher,1972,8
2064,Power Of Love,Joe Simon,1972,15
2065,Dedicated To The One I Love,The Temprees,1972,2
2066,I'm Still In Love With You,Al Green,1972,12
2067,"Your Wonderful, Sweet Sweet Love",The Supremes,1972,8
2068,Love Song,Tommy James,1972,6
2069,Goodbye To Love,Carpenters,1972,10
2070,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,1972,16
2071,When You Say Love,Sonny & Cher,1972,10
2072,A Sunday Kind Of Love,Lenny Welch,1972,5
2073,Where Is The Love,Roberta Flack & Donny Hathaway,1972,13
2074,Turn On Your Love Light,Jerry Lee Lewis,1972,3
2075,Mary Had A Little Lamb/Little Woman Love,Wings,1972,7
2076,Eddie's Love,Eddie Kendricks,1972,8
2077,Walkin' In The Rain With The One I Love,Love Unlimited,1972,14
2078,It's The Same Old Love,The Courtship,1972,2
2079,Long Haired Lover From Liverpool,Little Jimmy Osmond with The Mike Curb Congregation,1972,10
2080,"Love Theme From ""The Godfather"" (Speak Softly Love)",Andy Williams,1972,11
2081,"Love Theme From ""The Godfather""",Carlo Savina,1972,9
2082,Ain't That Loving You (For More Reasons Than One),Isaac Hayes & David Porter,1972,4
2083,Speak Softly Love,Al Martino,1972,4
2084,Puppy Love,Donny Osmond,1972,12
2085,Be My Lover,Alice Cooper,1972,10
2086,Love's Street And Fool's Road,Solomon Burke,1972,5
2087,The Way Of Love,Cher,1972,13
2088,Your Precious Love,Linda Jones,1972,9
2089,Softly Whispering I Love You,The English Congregation,1972,10
2090,"Love Me, Love Me Love",Frank Mills,1972,9
2091,If We Only Have Love,Dionne Warwicke,1972,3
2092,That's What Love Will Make You Do,Little Milton,1972,6
2093,(Love Me) Love The Life I Lead,The Fantastics,1972,4
2094,Together Let's Find Love,The 5th Dimension,1972,10
2095,Love Gonna Pack Up (And Walk Out),The Persuaders,1972,9
2096,Love Gonna Pack Up (And Walk Out),The Persuaders,1971,1
